City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
231,Saint George,US,37.1,-113.58,43.0,41,1,3.36,clear sky,2021-01-05 06:12:44
232,Dubbo,AU,-32.25,148.62,86.0,40,6,9.17,clear sky,2021-01-05 06:14:12
233,Ust-Nera,RU,64.57,143.2,-17.79,78,100,1.57,overcast clouds,2021-01-05 06:17:36
234,Emba,KZ,48.83,58.14,3.88,86,10,4.97,clear sky,2021-01-05 06:17:36
235,Nikolskoye,RU,59.7,30.79,27.0,92,75,3.29,broken clouds,2021-01-05 06:17:36
236,Saintes,FR,45.67,-0.75,35.6,99,90,9.17,overcast clouds,2021-01-05 06:17:36
237,Ahipara,NZ,-35.17,173.17,70.84,65,27,0.49,scattered clouds,2021-01-05 06:17:37
238,Matara,LK,5.95,80.54,85.14,65,86,6.71,light rain,2021-01-05 06:17:37
239,Ihosy,MG,-22.4,46.12,77.02,61,39,4.74,scattered clouds,2021-01-05 06:17:37
240,Santa Cruz De Tenerife,ES,28.47,-16.25,62.01,93,75,5.82,broken clouds,2021-01-05 06:17:37
241,Srednekolymsk,RU,67.45,153.68,-29.25,84,60,7.02,broken clouds,2021-01-05 06:17:37
242,Moose Jaw,CA,50.4,-105.53,19.4,79,20,8.05,few clouds,2021-01-05 06:17:38
243,Alyangula,AU,-13.85,136.42,93.2,56,67,2.24,light rain,2021-01-05 06:17:38
244,Muli,MV,2.92,73.57,83.14,70,94,4.45,light rain,2021-01-05 06:17:38
245,Vadso,NO,70.07,29.75,26.6,86,0,16.11,clear sky,2021-01-05 06:17:39
246,Bukachacha,RU,52.98,116.92,-12.37,78,100,4.05,overcast clouds,2021-01-05 06:17:39
247,Fairbanks,US,64.84,-147.72,-9.0,75,20,2.17,few clouds,2021-01-05 06:17:39
248,Zaykovo,RU,57.56,62.76,-1.3,92,98,6.44,overcast clouds,2021-01-05 06:17:39
249,Zhanaozen,KZ,43.3,52.8,22.78,93,0,15.19,clear sky,2021-01-05 06:17:40
250,Dunedin,NZ,-45.87,170.5,57.99,85,100,4.0,light rain,2021-01-05 06:17:40
