City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Eyl,SO,2021-01-02 00:51:29,7.98,49.82,71.69,76,89,15.19
274,Komsomolskiy,UZ,2021-01-02 00:51:29,40.43,71.72,21.2,92,90,2.24
275,Rajula,IN,2021-01-02 00:51:30,21.05,71.43,63.61,39,32,11.3
276,Thinadhoo,MV,2021-01-02 00:51:30,0.53,72.93,81.48,74,99,5.79
277,Rio Gallegos,AR,2021-01-02 00:50:17,-51.62,-69.22,69.8,49,20,3.36
278,Basay,PH,2021-01-02 00:51:30,9.41,122.64,81.3,74,100,11.86
279,Lahat,ID,2021-01-02 00:51:30,-3.8,103.53,75.79,88,93,2.77
280,Buchanan,LR,2021-01-02 00:51:31,5.88,-10.05,77.0,100,20,6.64
281,Sao Filipe,CV,2021-01-02 00:51:31,14.9,-24.5,75.51,73,0,6.73
282,Wau,SS,2021-01-02 00:51:31,7.7,28.0,69.33,31,82,2.33
283,Althofen,AT,2021-01-02 00:51:31,46.88,14.47,30.2,92,75,1.12
284,Comodoro Rivadavia,AR,2021-01-02 00:51:32,-45.87,-67.5,86.0,22,0,14.99
285,Tanete,ID,2021-01-02 00:51:32,-3.94,119.78,85.48,63,100,6.91
286,Manthani,IN,2021-01-02 00:51:32,18.65,79.67,63.46,86,98,3.91
287,Chokurdakh,RU,2021-01-02 00:51:32,70.63,147.92,-32.58,85,0,2.46
288,Balikpapan,ID,2021-01-02 00:50:14,-1.27,116.83,77.0,94,20,2.24
289,Donghai,CN,2021-01-02 00:51:33,22.95,115.64,48.0,45,0,5.75
290,Ilulissat,GL,2021-01-02 00:51:33,69.22,-51.1,19.4,52,100,11.41
291,Kikwit,CD,2021-01-02 00:51:33,-5.04,18.82,70.3,90,95,0.96
292,Dehui,CN,2021-01-02 00:51:33,44.53,125.7,-11.2,63,0,4.47
293,Tual,ID,2021-01-02 00:51:33,-5.67,132.75,84.63,73,100,12.46
294,Cabo San Lucas,MX,2021-01-02 00:51:34,22.89,-109.91,68.0,52,40,8.05
295,Grand Gaube,MU,2021-01-02 00:51:34,-20.01,57.66,75.0,79,0,7.0
296,Suluq,LY,2021-01-02 00:48:11,31.67,20.25,55.76,39,66,11.16
297,Fallon,US,2021-01-02 00:51:34,39.47,-118.78,42.8,52,20,8.05
298,Qaqortoq,GL,2021-01-02 00:51:35,60.72,-46.03,39.2,38,100,16.11
299,Tefe,BR,2021-01-02 00:51:35,-3.35,-64.71,75.38,94,100,1.3
300,Burnie,AU,2021-01-02 00:51:35,-41.07,145.92,64.0,65,100,11.01
301,Kant,IN,2021-01-02 00:51:35,27.8,79.8,51.22,45,0,4.0
302,Kununurra,AU,2021-01-02 00:48:04,-15.77,128.73,89.6,66,19,8.05
